,x_center,y_center
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,1003.0,290.0
9,1001.0,290.0
10,,
11,,
12,,
13,,
14,990.0,290.0
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,977.0,286.0
23,976.0,285.0
24,976.0,284.0
25,,
26,971.0,284.0
27,970.0,284.0
28,969.0,283.0
29,968.0,283.0
30,967.0,283.0
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,918.0,116.0
39,,
40,,
41,,
42,,
43,,
44,908.0,115.0
45,908.0,113.0
46,907.0,110.0
47,,
48,,
49,,
50,833.0,39.0
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,1003.0,142.0
63,1015.0,153.0
64,1028.0,166.0
65,1044.0,180.0
66,1060.0,198.0
67,1075.0,215.0
68,1093.0,237.0
69,1111.0,263.0
70,1130.0,290.0
71,1146.0,317.0
72,1168.0,351.0
73,1187.0,387.0
74,1208.0,428.0
75,1229.0,471.0
76,1249.0,505.0
77,1265.0,507.0
78,1281.0,512.0
79,1299.0,518.0
80,1317.0,525.0
81,1336.0,535.0
82,1356.0,548.0
83,1374.0,560.0
84,1394.0,578.0
85,1412.0,595.0
86,1430.0,615.0
87,1448.0,639.0
88,1072.0,28.0
89,,
90,,
91,1457.0,570.0
92,1439.0,505.0
93,1423.0,452.0
94,1406.0,404.0
95,1389.0,362.0
96,1375.0,326.0
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,1446.0,597.0
107,1267.0,165.0
108,1265.0,163.0
109,1259.0,163.0
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,1075.0,144.0
123,,
124,1036.0,155.0
125,1013.0,160.0
126,990.0,169.0
127,966.0,178.0
128,932.0,196.0
129,,
130,,
131,,
132,,
133,,
134,770.0,304.0
135,739.0,331.0
136,711.0,356.0
137,682.0,386.0
138,653.0,417.0
139,623.0,450.0
140,598.0,481.0
141,575.0,498.0
142,556.0,489.0
143,535.0,481.0
144,519.0,476.0
145,499.0,471.0
146,483.0,469.0
147,463.0,464.0
148,445.0,465.0
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,823.0,19.0
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,884.0,214.0
167,,
168,967.0,191.0
169,,
170,1026.0,180.0
171,1050.0,175.0
172,,
173,,
174,,
175,,
176,,
177,,
178,1192.0,174.0
179,1204.0,165.0
180,1212.0,159.0
181,,
182,524.0,518.0
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,1121.0,80.0
194,1110.0,80.0
195,905.0,44.0
196,1086.0,79.0
197,,
198,,
199,,
200,,
201,,
202,921.0,47.0
203,973.0,123.0
204,,
205,928.0,156.0
206,907.0,176.0
207,882.0,198.0
208,1215.0,421.0
209,831.0,254.0
210,801.0,287.0
211,774.0,322.0
212,914.0,38.0
213,806.0,291.0
214,826.0,277.0
215,844.0,258.0
216,859.0,249.0
217,924.0,39.0
218,885.0,235.0
219,896.0,229.0
220,904.0,225.0
221,915.0,224.0
222,920.0,224.0
223,926.0,224.0
224,930.0,228.0
225,,
226,,
227,789.0,626.0
228,,
229,,
230,,
231,964.0,151.0
232,,
233,967.0,126.0
234,970.0,115.0
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,929.0,47.0
255,922.0,50.0
256,916.0,54.0
257,904.0,58.0
258,894.0,67.0
259,1064.0,409.0
260,1069.0,412.0
261,1073.0,417.0
262,1075.0,421.0
263,1078.0,425.0
264,1079.0,429.0
265,1082.0,433.0
266,776.0,219.0
267,1085.0,440.0
268,735.0,294.0
269,714.0,344.0
270,1099.0,442.0
271,1110.0,438.0
272,,
273,627.0,595.0
274,607.0,674.0
275,990.0,38.0
276,990.0,38.0
277,990.0,39.0
278,991.0,39.0
279,991.0,39.0
280,990.0,39.0
281,990.0,39.0
282,563.0,1007.0
283,,
284,,
285,,
286,989.0,36.0
287,546.0,825.0
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,1139.0,456.0
298,,
299,,
300,,
301,549.0,634.0
302,554.0,631.0
303,555.0,633.0
304,557.0,637.0
305,560.0,641.0
306,563.0,646.0
307,567.0,653.0
308,572.0,662.0
309,578.0,671.0
310,583.0,680.0
311,590.0,692.0
312,593.0,695.0
313,588.0,683.0
314,587.0,676.0
315,585.0,668.0
316,584.0,662.0
317,583.0,657.0
318,583.0,653.0
319,583.0,649.0
320,584.0,648.0
321,586.0,648.0
322,588.0,649.0
323,595.0,610.0
324,603.0,560.0
325,610.0,514.0
326,620.0,473.0
327,630.0,433.0
328,640.0,398.0
329,650.0,368.0
330,660.0,340.0
331,670.0,315.0
332,680.0,295.0
333,690.0,277.0
334,,
335,,
336,716.0,234.0
337,726.0,224.0
338,734.0,216.0
339,741.0,210.0
340,749.0,206.0
341,,
342,,
343,,
344,,
345,782.0,201.0
346,787.0,205.0
347,796.0,207.0
348,799.0,211.0
349,803.0,215.0
350,809.0,221.0
351,810.0,214.0
352,810.0,200.0
353,811.0,190.0
354,811.0,179.0
355,812.0,171.0
356,812.0,161.0
357,,
358,,
359,,
360,,
361,,
362,821.0,129.0
363,822.0,129.0
364,,
365,,
366,825.0,129.0
367,826.0,128.0
368,,
369,,
370,,
