,x_center,y_center
0,1071.0,26.0
1,1071.0,26.0
2,1071.0,27.0
3,,
4,1049.0,282.0
5,998.0,31.0
6,1014.0,287.0
7,,
8,1003.0,290.0
9,1001.0,290.0
10,998.0,290.0
11,1050.0,283.0
12,1010.0,34.0
13,1010.0,33.0
14,990.0,290.0
15,1013.0,35.0
16,,
17,,
18,,
19,,
20,979.0,286.0
21,978.0,286.0
22,977.0,286.0
23,976.0,285.0
24,976.0,284.0
25,866.0,70.0
26,971.0,284.0
27,970.0,284.0
28,969.0,283.0
29,968.0,283.0
30,967.0,283.0
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,918.0,116.0
39,918.0,125.0
40,,
41,,
42,916.0,128.0
43,916.0,124.0
44,913.0,116.0
45,908.0,113.0
46,907.0,110.0
47,,
48,,
49,906.0,105.0
50,833.0,39.0
51,,
52,,
53,,
54,866.0,70.0
55,866.0,70.0
56,,
57,,
58,785.0,87.0
59,866.0,71.0
60,,
61,,
62,1003.0,142.0
63,1015.0,155.0
64,1033.0,166.0
65,1044.0,180.0
66,1061.0,200.0
67,1075.0,215.0
68,1093.0,237.0
69,781.0,87.0
70,1130.0,290.0
71,1147.0,318.0
72,1168.0,351.0
73,1187.0,387.0
74,1209.0,430.0
75,1230.0,472.0
76,1249.0,505.0
77,1265.0,508.0
78,1281.0,512.0
79,1299.0,518.0
80,1318.0,525.0
81,1337.0,535.0
82,1356.0,548.0
83,1374.0,560.0
84,1394.0,578.0
85,1412.0,595.0
86,1432.0,615.0
87,1448.0,641.0
88,866.0,70.0
89,861.0,69.0
90,861.0,69.0
91,866.0,70.0
92,1440.0,506.0
93,1423.0,452.0
94,1406.0,404.0
95,1389.0,362.0
96,1375.0,326.0
97,,
98,925.0,35.0
99,921.0,36.0
100,,
101,916.0,35.0
102,914.0,33.0
103,913.0,34.0
104,909.0,29.0
105,1281.0,176.0
106,1446.0,597.0
107,1445.0,586.0
108,1265.0,163.0
109,1259.0,163.0
110,1411.0,290.0
111,1411.0,290.0
112,1411.0,290.0
113,893.0,32.0
114,890.0,33.0
115,883.0,38.0
116,1411.0,290.0
117,1411.0,290.0
118,1298.0,563.0
119,1135.0,138.0
120,1411.0,290.0
121,1411.0,290.0
122,1081.0,145.0
123,1059.0,149.0
124,1036.0,155.0
125,859.0,38.0
126,990.0,169.0
127,1411.0,289.0
128,938.0,196.0
129,1411.0,289.0
130,1411.0,290.0
131,848.0,44.0
132,1411.0,290.0
133,1411.0,290.0
134,770.0,304.0
135,739.0,331.0
136,711.0,356.0
137,682.0,386.0
138,650.0,418.0
139,623.0,452.0
140,599.0,481.0
141,575.0,498.0
142,553.0,488.0
143,535.0,481.0
144,1411.0,289.0
145,1411.0,289.0
146,479.0,468.0
147,1411.0,290.0
148,1072.0,27.0
149,1072.0,27.0
150,1411.0,289.0
151,1411.0,289.0
152,1411.0,289.0
153,1411.0,289.0
154,1411.0,289.0
155,1411.0,289.0
156,1411.0,289.0
157,1072.0,27.0
158,1411.0,289.0
159,1411.0,289.0
160,1411.0,289.0
161,1411.0,289.0
162,1411.0,289.0
163,1072.0,28.0
164,1411.0,289.0
165,1411.0,289.0
166,889.0,213.0
167,1411.0,289.0
168,967.0,191.0
169,1411.0,289.0
170,1072.0,28.0
171,1072.0,28.0
172,1072.0,28.0
173,,
174,,
175,,
176,,
177,,
178,1192.0,174.0
179,1204.0,165.0
180,1212.0,159.0
181,511.0,521.0
182,524.0,518.0
183,544.0,514.0
184,569.0,509.0
185,,
186,,
187,,
188,1411.0,289.0
189,,
190,,
191,,
192,,
193,1121.0,80.0
194,900.0,43.0
195,1099.0,83.0
196,1086.0,79.0
197,1072.0,80.0
198,1183.0,422.0
199,,
200,883.0,36.0
201,1010.0,105.0
202,1195.0,413.0
203,922.0,46.0
204,1197.0,415.0
205,928.0,156.0
206,899.0,39.0
207,900.0,38.0
208,862.0,222.0
209,831.0,254.0
210,798.0,288.0
211,772.0,324.0
212,914.0,38.0
213,806.0,290.0
214,826.0,277.0
215,844.0,258.0
216,859.0,249.0
217,924.0,39.0
218,888.0,236.0
219,896.0,229.0
220,904.0,227.0
221,909.0,224.0
222,919.0,227.0
223,926.0,227.0
224,930.0,228.0
225,1411.0,290.0
226,1411.0,290.0
227,1275.0,440.0
228,1268.0,438.0
229,1411.0,290.0
230,774.0,623.0
231,956.0,150.0
232,1411.0,290.0
233,967.0,126.0
234,970.0,115.0
235,973.0,107.0
236,1411.0,290.0
237,1411.0,290.0
238,1411.0,290.0
239,1411.0,290.0
240,1411.0,290.0
241,1411.0,290.0
242,1411.0,290.0
243,1411.0,290.0
244,1411.0,290.0
245,1411.0,290.0
246,1411.0,290.0
247,1411.0,290.0
248,1411.0,290.0
249,1411.0,290.0
250,1411.0,290.0
251,1411.0,290.0
252,992.0,34.0
253,939.0,45.0
254,929.0,47.0
255,989.0,35.0
256,1012.0,30.0
257,904.0,58.0
258,894.0,67.0
259,1064.0,409.0
260,1069.0,412.0
261,1073.0,417.0
262,1075.0,421.0
263,1078.0,425.0
264,1079.0,429.0
265,1082.0,433.0
266,1084.0,437.0
267,1085.0,440.0
268,1087.0,443.0
269,714.0,344.0
270,691.0,400.0
271,1109.0,441.0
272,1411.0,290.0
273,626.0,598.0
274,607.0,674.0
275,588.0,754.0
276,990.0,38.0
277,990.0,39.0
278,991.0,39.0
279,991.0,39.0
280,990.0,39.0
281,990.0,39.0
282,990.0,38.0
283,862.0,69.0
284,861.0,69.0
285,866.0,70.0
286,989.0,36.0
287,549.0,827.0
288,861.0,68.0
289,861.0,68.0
