frame,ball_x,ball_y,player11_x1,player11_y1,player11_x2,player11_y2,player12_x1,player12_y1,player12_x2,player12_y2,player21_x1,player21_y1,player21_x2,player21_y2,player22_x1,player22_y1,player22_x2,player22_y2,shot_made,shot_player,shot_type
0,nan,nan,957.7,150.6,1047.3,261.8,921.6,56.4,960.3,130.7,498.6,664.2,660.1,836.7,,,,,False,,
1,nan,nan,957.7,150.6,1047.1,261.3,921.5,56.3,960.3,130.7,498.5,664.2,660.0,836.7,,,,,False,,
2,nan,nan,957.0,149.2,1036.5,258.1,923.1,57.1,960.3,130.8,498.5,665.1,661.1,837.9,,,,,False,,
3,nan,nan,954.5,148.5,1041.6,261.1,922.4,57.3,960.1,130.8,499.7,665.6,665.2,836.2,,,,,False,,
4,nan,nan,953.5,147.9,1037.6,262.4,920.8,56.7,960.0,132.1,499.8,667.0,671.1,836.3,1460.6,705.7,1623.0,889.5,False,,
5,nan,nan,952.0,146.8,1027.2,260.0,920.3,56.3,959.3,132.9,499.8,667.4,674.9,835.6,1461.8,707.1,1624.9,888.1,False,,
6,nan,nan,949.8,146.1,1013.5,260.9,,,,,499.5,667.5,676.7,835.4,1463.8,707.8,1627.5,888.8,False,,
7,nan,nan,945.6,145.9,1001.6,262.3,,,,,498.8,667.5,675.7,835.2,1463.9,708.8,1629.7,888.8,False,,
8,1003.0,290.0,940.4,144.5,988.8,262.9,921.3,56.9,957.6,131.4,497.0,668.0,673.0,837.0,1463.9,709.1,1631.4,888.7,False,,
9,1001.0,290.0,934.3,143.1,975.3,259.6,920.6,56.2,957.8,131.6,495.5,668.3,669.6,837.0,1464.7,708.9,1633.3,889.4,False,,
10,998.8,290.0,927.1,143.3,973.0,261.4,921.2,56.0,957.0,131.5,493.5,668.5,664.4,836.3,1466.0,708.4,1634.7,890.5,False,,
11,996.6,290.0,918.7,142.9,977.4,259.3,920.8,55.6,957.1,130.6,490.6,668.6,658.9,834.4,,,,,False,,
12,994.4,290.0,903.2,142.7,974.9,259.2,919.4,55.0,957.2,129.5,489.0,668.4,653.6,834.7,,,,,False,,
13,992.2,290.0,892.7,143.3,972.1,258.3,919.3,54.6,957.3,129.9,486.5,668.4,649.0,834.9,,,,,False,,
14,990.0,290.0,883.5,144.1,968.1,257.5,919.5,53.0,956.8,130.0,484.3,668.1,645.3,835.1,1470.2,705.0,1642.4,889.5,False,,
15,988.375,289.5,880.1,145.1,963.2,258.2,919.2,52.8,956.5,128.0,482.5,668.5,643.4,835.8,1469.9,704.0,1645.3,889.1,False,,
